face_id,x,y,z,closeness,betweenness
face_635,35167.243333,-1338.924042,8530.516379,0.022318,0.007994
face_636,35267.243333,-1238.924042,8530.516379,0.022332,0.010681
face_637,35367.243333,-1138.924042,8530.516379,0.022335,0.011952
face_638,35467.243333,-1038.924042,8530.516379,0.022325,0.01033
face_639,35567.243333,-938.924042,8530.516379,0.022303,0.006704
face_640,35667.243333,-838.924042,8530.516379,0.02227,0.00319
face_641,35752.243333,-738.924042,8530.516379,0.022225,0.000696
face_642,35650.749739,-28.930132,8530.516379,0.023489,0.000129
face_643,35567.243333,61.075958,8530.516379,0.023722,0.001451
face_644,35467.243333,115.7814,8530.516379,0.02395,0.001644
face_645,35467.243333,180.781402,8530.516379,0.024091,0.002876
face_646,35367.243333,261.075958,8530.516379,0.024286,0.00629
face_647,35267.243333,361.075958,8530.516379,0.02447,0.012534
face_648,35167.243333,461.075958,8530.516379,0.024635,0.020172
face_649,35067.243333,561.075958,8530.516379,0.02474,0.022512
face_650,34967.243333,661.075958,8530.516379,0.024803,0.01834
face_651,34867.243333,761.075958,8530.516379,0.024842,0.01264
face_652,34767.243333,861.075958,8530.516379,0.024853,0.009201
face_653,34667.243333,961.075958,8530.516379,0.02472,0.008007
face_654,34567.243333,861.075958,8530.516379,0.02479,0.009899
face_655,34467.243333,761.075958,8530.516379,0.024832,0.015831
face_656,34367.243333,661.075958,8530.516379,0.024832,0.026336
face_657,34267.243333,561.075958,8530.516379,0.024808,0.04
face_658,34160.496044,458.818583,8530.516379,0.024759,0.094668
face_659,34273.659512,196.109242,8530.516379,0.024435,2.9e-05
face_660,32311.974402,-38.924042,8530.516379,0.031435,0.002907
face_661,32367.243333,61.075958,8530.516379,0.031526,0.009134
face_662,32467.243333,161.075958,8530.516379,0.031596,0.022792
face_663,32367.243333,261.075958,8530.516379,0.031642,0.034277
face_664,32311.974402,361.075958,8530.516379,0.031619,0.039693
face_665,32246.974404,361.075958,8530.516379,0.031578,0.005717
face_666,32167.243333,261.075958,8530.516379,0.032446,0.031233
face_667,32069.691465,159.331991,8530.516379,0.033238,0.065803
face_668,31967.243333,61.075958,8530.516379,0.033612,0.03106
face_669,31867.243333,-38.924042,8530.516379,0.03395,0.061255
face_670,31767.243333,-138.924042,8530.516379,0.034218,0.081543
face_671,31667.243333,-238.924042,8530.516379,0.034429,0.071898
face_672,31567.243333,-338.924042,8530.516379,0.033982,0.0515
face_673,31467.243333,-438.924042,8530.516379,0.033453,0.100277
face_674,31567.243333,-538.924042,8530.516379,0.032816,0.015067
face_675,31667.243333,-638.924042,8530.516379,0.032173,0.020243
face_676,31767.243333,-738.924042,8530.516379,0.031525,0.021863
face_677,31867.243333,-838.924042,8530.516379,0.030873,0.020721
face_678,31951.93729,-738.924042,8530.516379,0.030786,0.00322
face_679,32016.937286,-938.924054,8530.516379,0.029171,0.000592
face_680,32067.243333,-1008.560412,8530.516379,0.029175,0.000466
face_681,34894.062316,-1338.924042,8530.516379,0.021794,0.002906
face_682,34967.243333,-1438.924042,8530.516379,0.02181,0.004701
face_683,35067.243333,-1538.924042,8530.516379,0.021814,0.004679
face_684,35167.243333,-1438.924042,8530.516379,0.021853,0.006034
face_685,35267.243333,-1338.924042,8530.516379,0.021872,0.008484
face_686,35367.243333,-1238.924042,8530.516379,0.021879,0.010252
face_687,35467.243333,-1138.924042,8530.516379,0.021874,0.009755
face_688,35567.243333,-1038.924042,8530.516379,0.021858,0.006924
face_689,35667.243333,-938.924042,8530.516379,0.02183,0.003518
face_690,35752.243333,-838.924042,8530.516379,0.021791,0.000855
face_691,35650.749739,61.075958,8530.516379,0.023173,0.000218
face_692,35567.243333,115.7814,8530.516379,0.023393,0.000895
face_693,35567.243333,180.781402,8530.516379,0.02353,0.001357
face_694,35467.243333,261.075958,8530.516379,0.023741,0.003628
face_695,35367.243333,361.075958,8530.516379,0.023924,0.007443
face_696,35267.243333,461.075958,8530.516379,0.024091,0.014358
face_697,35167.243333,561.075958,8530.516379,0.024198,0.019988
face_698,35067.243333,661.075958,8530.516379,0.024283,0.019845
face_699,34967.243333,761.075958,8530.516379,0.024328,0.015149
face_700,34867.243333,861.075958,8530.516379,0.024348,0.010036
face_701,34767.243333,961.075958,8530.516379,0.02434,0.007336
face_702,34667.243333,1061.075958,8530.516379,0.024199,0.006128
face_703,34567.243333,961.075958,8530.516379,0.02428,0.007725
face_704,34467.243333,861.075958,8530.516379,0.024338,0.011672
face_705,34367.243333,761.075958,8530.516379,0.024356,0.018473
face_706,34267.243333,661.075958,8530.516379,0.024349,0.028469
face_707,34167.243333,561.075958,8530.516379,0.024318,0.035472
face_708,34068.165979,460.824326,8530.516379,0.024264,0.079381
face_709,34158.659512,361.075958,8530.516379,0.024166,0.004751
face_710,32311.974403,-129.480895,8530.516379,0.030483,0.000422
face_711,32367.243333,-38.924042,8530.516379,0.030577,0.003824
face_712,32467.243333,61.075958,8530.516379,0.030649,0.00816
face_713,32567.243333,161.075958,8530.516379,0.0307,0.013268
face_714,32467.243333,261.075958,8530.516379,0.030758,0.019928
face_715,32367.243333,361.075958,8530.516379,0.030751,0.029864
face_716,32311.974402,461.075958,8530.516379,0.030722,0.027391
face_717,32246.974404,461.075958,8530.516379,0.03065,0.003101
face_718,32167.243333,361.075958,8530.516379,0.03147,0.011671
face_719,32074.200673,261.075958,8530.516379,0.032313,0.035929
face_720,31967.243333,141.73811,8530.516379,0.033038,0.050206
face_721,31867.243333,61.075958,8530.516379,0.033398,0.037244
face_722,31767.243333,-38.924042,8530.516379,0.033692,0.068371
face_723,31667.243333,-138.924042,8530.516379,0.033933,0.076088
face_724,31567.243333,-238.924042,8530.516379,0.034117,0.06224
face_725,31467.243333,-338.924042,8530.516379,0.033655,0.049168
face_726,31367.243333,-438.924042,8530.516379,0.033114,0.102825
face_727,31467.243333,-538.924042,8530.516379,0.032511,0.013115
face_728,31567.243333,-638.924042,8530.516379,0.0319,0.016354
face_729,31667.243333,-738.924042,8530.516379,0.031283,0.019367
face_730,31767.243333,-838.924042,8530.516379,0.03066,0.018395
face_731,31867.243333,-938.924042,8530.516379,0.030035,0.016362
face_732,31951.93729,-838.924042,8530.516379,0.029961,0.003411
face_733,32016.937286,-1008.560413,8530.516379,0.028352,2e-06
face_734,34894.062316,-1438.924042,8530.516379,0.021351,0.002564
face_735,34967.243333,-1538.924042,8530.516379,0.021362,0.003569
face_736,35067.243333,-1638.924042,8530.516379,0.021362,0.002966
face_737,35167.243333,-1538.924042,8530.516379,0.021404,0.004326
face_738,35267.243333,-1438.924042,8530.516379,0.021426,0.006489
face_739,35367.243333,-1338.924042,8530.516379,0.021437,0.008456
face_740,35467.243333,-1238.924042,8530.516379,0.021437,0.00885
face_741,35567.243333,-1138.924042,8530.516379,0.021426,0.006908
face_742,35667.243333,-1038.924042,8530.516379,0.021404,0.003777
face_743,35752.243333,-938.924042,8530.516379,0.02137,0.001004
face_744,35650.749739,115.7814,8530.516379,0.02286,3.1e-05
face_745,35650.749739,180.781402,8530.516379,0.022992,0.000131
face_746,35567.243333,261.075958,8530.516379,0.023197,0.001789
face_747,35467.243333,361.075958,8530.516379,0.023395,0.004168
face_748,35367.243333,461.075958,8530.516379,0.023561,0.008792
face_749,35267.243333,561.075958,8530.516379,0.023673,0.015869
face_750,35167.243333,661.075958,8530.516379,0.023761,0.018857
face_751,35067.243333,761.075958,8530.516379,0.023828,0.017165
face_752,34967.243333,861.075958,8530.516379,0.023854,0.012212
face_753,34867.243333,961.075958,8530.516379,0.023856,0.007742
face_754,34767.243333,1061.075958,8530.516379,0.023834,0.005773
face_755,34667.243333,1161.075958,8530.516379,0.023679,0.004562
face_756,34567.243333,1061.075958,8530.516379,0.023777,0.005906
face_757,34467.243333,961.075958,8530.516379,0.023847,0.008682
face_758,34367.243333,861.075958,8530.516379,0.023881,0.013291
face_759,34267.243333,761.075958,8530.516379,0.023891,0.020492
face_760,34167.243333,661.075958,8530.516379,0.023876,0.027926
face_761,34067.243333,561.075958,8530.516379,0.02384,0.030046
face_762,33967.133357,499.844499,8530.516379,0.023778,0.069474
face_763,33982.274881,434.954545,8530.516379,0.023691,0.000626
face_764,34067.243333,361.075958,8530.516379,0.023694,0.00319
face_765,34158.659512,261.075958,8530.516379,0.023599,0.002068
face_766,32367.243333,-129.480896,8530.516379,0.029676,0.000807
face_767,32467.243333,-38.924042,8530.516379,0.029751,0.004155
face_768,32567.243333,61.075958,8530.516379,0.029806,0.006655
face_769,32667.243333,161.075958,8530.516379,0.02984,0.007858
face_770,32567.243333,261.075958,8530.516379,0.029909,0.011881
face_771,32467.243333,361.075958,8530.516379,0.029916,0.020433
face_772,32367.243333,461.075958,8530.516379,0.029902,0.024628
face_773,32311.974402,561.075958,8530.516379,0.029868,0.019632
face_774,32246.974404,561.075958,8530.516379,0.029761,0.00124
face_775,32167.243333,461.075958,8530.516379,0.030548,0.007845
face_776,32074.200673,361.075958,8530.516379,0.031344,0.030248
face_777,31867.243333,141.73811,8530.516379,0.032831,0.04721
face_778,31767.243333,61.075958,8530.516379,0.033149,0.044804
face_779,31667.243333,-38.924042,8530.516379,0.033416,0.072999
face_780,31567.243333,-138.924042,8530.516379,0.03363,0.069428
face_781,31467.243333,-238.924042,8530.516379,0.033787,0.054818
face_782,31367.243333,-338.924042,8530.516379,0.033312,0.047728
face_783,31267.243333,-438.924042,8530.516379,0.032759,0.109521
face_784,31367.243333,-538.924042,8530.516379,0.032191,0.013437
face_785,31467.243333,-638.924042,8530.516379,0.031612,0.014327
face_786,31567.243333,-738.924042,8530.516379,0.031025,0.016768
face_787,31667.243333,-838.924042,8530.516379,0.030431,0.017831
face_788,31767.243333,-938.924042,8530.516379,0.029833,0.0154
face_789,31867.243333,-1038.924042,8530.516379,0.029233,0.013107
face_790,31951.93729,-938.924042,8530.516379,0.029171,0.00348
face_791,34894.062316,-1538.924042,8530.516379,0.020921,0.002105
face_792,34967.243333,-1638.924042,8530.516379,0.020927,0.002424
face_793,35067.243333,-1738.924042,8530.516379,0.020923,0.001485
face_794,35167.243333,-1638.924042,8530.516379,0.020967,0.002813
